geo:Geometry geo:asWKT geo:wktLiteral
mim:Objecttype mim:kwaliteit xsd:string
geo:SpatialObject geo:sfWithin geo:SpatialObject
cube:Observation cbs:treinstation xsd:decimal
sor:Waterschap prov:invalidatedAtTime xsd:gYear
cube:Observation cbs:warenhuizen10 xsd:decimal
owl:DatatypeProperty rdfs:label xsd:string
cube:Observation cbs:bioscopen10 xsd:decimal
kad:AdresseerbaarObject sor:nevenadres sor:Nummeraanduiding
skos:Concept skos:invalidatedAtTime xsd:date
bag:Pand bag:geometrie gml:Surface
cube:Observation cbs:oppervlakteWater xsd:nonNegativeInteger
sh:PropertyShape sh:minCount xsd:integer
mim:Objecttype mim:herkomstDefinitie xsd:string
cube:Observation cbs:ijsbaan xsd:decimal
cube:Observation cbs:geboortepercentage xsd:nonNegativeInteger
kad:PubliekrechtelijkeBeperking kad:gevestigdOp sor:Perceel
bag:Verblijfsobject bag:nevenadres bag:Nummeraanduiding
sor:Gebouwzone kad:visualisatieCode xsd:integer
sor:Perceel sor:geregistreerdMet sor:Registratiegegevens
sor:Gebouwzone kad:status kad:Status
rdfs:Class rdfs:subClassOf rdfs:Class
kad:Brontype skos:inScheme skos:ConceptScheme
skos:Concept skos:definition rdf:HTML
sor:Woonplaats sor:geregistreerdMet sor:Registratiegegevens
sh:PropertyShape sh:minLength xsd:integer
sor:Brondocument sor:documentdatum xsd:date
sor:Object sor:geregistreerdMet sor:Registratiegegevens
cube:Observation cbs:podia20 xsd:decimal
sor:Nummeraanduiding sor:ligtAan sor:OpenbareRuimte
bag:Verblijfsobject bag:status bag:StatusVerblijfsobject
cube:Observation cbs:cafés5 xsd:decimal
sor:Gemeente prov:invalidatedAtTime xsd:gYear
sh:NodeShape rdfs:comment xsd:string
sor:Registratiegegevens kad:mutatietype kad:Mutatietype
sor:Gemeente owl:sameAs cbs:Gemeente
owl:Class mim:datumOpname xsd:string
sor:Gebruiksdoel skos:inScheme skos:ConceptScheme
owl:Class rdfs:label xsd:string
sor:Verblijfsobject sor:gebruiksdoel sor:Gebruiksdoel
bag:Ligplaats nen3610:domein xsd:string
cube:Observation cbs:ongehuwd xsd:nonNegativeInteger
sor:Gebouwzone kad:hoogte xsd:double
sor:Verblijfsobject sor:hoofdadres sor:Nummeraanduiding
cube:Observation cbs:lageKoopkracht xsd:nonNegativeInteger
bag:Pand bag:geconstateerd bag:Indicatie
sor:Woonplaats geo:hasGeometry gml:Surface
cube:MeasureProperty rdfs:domain owl:Class
owl:NamedIndividual rdfs:range owl:Class
cube:Observation cbs:ééngezinswoningen xsd:nonNegativeInteger
cube:Observation cbs:inkomenPerInkomensontvanger xsd:nonNegativeInteger
cube:Observation cbs:huishoudens xsd:nonNegativeInteger
kad:Grondslag skos:invalidatedAtTime xsd:date
nen3610:GeoObject nen3610:geregistreerdMet nen3610:Registratiegegevens
sh:NodeShape rdfs:isDefinedBy owl:Ontology
kad:Gebouwtype rdfs:isDefinedBy owl:Ontology
cube:Observation cbs:inwoners0-14 xsd:nonNegativeInteger
cube:Observation cbs:cafetarium xsd:decimal
sor:Registratiegegevens sor:primaireBron sor:Brondocument
sor:Waterschap dct:identifier xsd:string
sh:PropertyShape sh:path rdf:Property
cube:Observation cbs:surinamers xsd:nonNegativeInteger
skos:Concept rdfs:isDefinedBy owl:Ontology
cube:Observation cbs:aardgasverbruikAppartement xsd:nonNegativeInteger
mim:Objecttype sh:targetClass owl:Class
sor:Gebouwzone sor:geregistreerdMet sor:Registratiegegevens
sor:Gemeente geo:sfWithin sor:Provincie
cube:Observation cbs:restaurants1 xsd:decimal
bag:VoorkomenLV sor:beschrijft bag:Pand
mim:Objecttype rdfs:label xsd:string
cube:Observation cbs:zwembad xsd:decimal
cube:Observation cbs:attractie xsd:decimal
cube:Observation cbs:personenautosOverigeBrandstof xsd:nonNegativeInteger
brt:Gebouw nen3610:geregistreerdMet sor:RegistratiegegevensExtern
cube:Observation cbs:elektriciteitsverbruikTweeOnderÉénKap xsd:nonNegativeInteger
cube:Observation cbs:cafetaria3 xsd:decimal
owl:NamedIndividual rdfs:comment rdf:HTML
cube:Observation cbs:huisartsenpraktijken3 xsd:decimal
kad:Ligplaats sor:geregistreerdMet sor:Registratiegegevens
bag:Standplaats bag:geconstateerd bag:Indicatie
cube:Observation cbs:personenautos6+ xsd:nonNegativeInteger
owl:Class dct:source xsd:anyURI
sor:Gebouw kad:plusStatus skos:Concept
owl:Ontology dcelements:source xsd:string
cube:Observation cbs:cafetaria1 xsd:decimal
cube:Observation cbs:buitenpoliklinieken20 xsd:decimal
cube:MeasureProperty rdfs:subPropertyOf owl:AnnotationProperty
sor:Gebouwzone sor:hoortBij sor:Verblijfsobject
owl:Ontology dcelements:creator xsd:string
rdf:Property rdfs:subPropertyOf rdf:Property
cube:Observation cbs:bibliotheek xsd:decimal
cube:Observation cbs:basisscholen3 xsd:decimal
cube:Observation cbs:westerseAllochtonen xsd:nonNegativeInteger
cube:Observation cbs:elektriciteitsverbruikHoekwoning xsd:nonNegativeInteger
sh:PropertyShape sh:path owl:ObjectProperty
bag:Ligplaats bag:hoofdadres bag:Nummeraanduiding
cube:Observation cbs:onbekendeWoningen xsd:nonNegativeInteger
cube:Observation cbs:elektriciteitsverbruikAppartement xsd:nonNegativeInteger
sor:Gemeente dct:identifier xsd:string
sor:Gebouwzone kad:gebouwtype skos:Concept
cube:Observation cbs:spatialExtent geo:Feature
bag:Pand bag:voorkomen bag:VoorkomenLV
cube:Observation cbs:hotels5 xsd:decimal
cube:Observation cbs:bedrijfsvestigingenMN xsd:nonNegativeInteger
geo:Feature geo:hasGeometry geo:Geometry
kad:Grondslag rdfs:isDefinedBy owl:Ontology
cube:Observation cbs:hotels10 xsd:decimal
cube:Observation cbs:oppervlakte xsd:nonNegativeInteger
kad:AdresseerbaarObject sor:hoofdadres sor:Nummeraanduiding
cube:Observation cbs:vmbo10 xsd:decimal
cube:Observation cbs:water owl:NamedIndividual
kad:Mutatietype rdfs:isDefinedBy owl:Ontology
sor:Perceel sor:sectie xsd:string
cube:Observation cbs:oppervlakteLand xsd:nonNegativeInteger
bag:Woonplaats bag:documentdatum xsd:date
sor:Gebouw sor:geregistreerdMet sor:Registratiegegevens
cube:Observation cbs:vmbo3 xsd:decimal
cube:Observation cbs:café xsd:decimal
kad:Hoogteklasse rdfs:isDefinedBy owl:Ontology
cube:Observation cbs:marokkanen xsd:nonNegativeInteger
cube:Observation cbs:bedrijfsvestigingen xsd:nonNegativeInteger
owl:Ontology dcelements:date xsd:date
cube:Observation cbs:museum xsd:decimal
cube:Observation cbs:sterftepercentage xsd:nonNegativeInteger
cube:Observation cbs:bedrijfsvestigingenBF xsd:nonNegativeInteger
cube:Observation cbs:podium xsd:decimal
cube:Observation cbs:restaurants3 xsd:decimal
sh:NodeShape sh:property sh:PropertyShape
sh:PropertyShape rdfs:isDefinedBy owl:Ontology
owl:Class mim:toelichting xsd:string
owl:DatatypeProperty dcelements:contributor xsd:string
cube:Observation cbs:attracties20 xsd:decimal
kad:Standplaats sor:geregistreerdMet sor:Registratiegegevens
cube:Observation cbs:overigeHuurwoningen xsd:nonNegativeInteger
skos:Concept prov:generatedAtTime xsd:date
cube:DimensionProperty rdfs:subPropertyOf owl:AnnotationProperty
owl:Ontology owl:versionInfo xsd:string
owl:Class mim:herkomstDefinitie xsd:string
sor:Perceel sor:hoortBij sor:Nummeraanduiding
mim:Objecttype rdfs:comment xsd:string
bag:Woonplaats bag:geometrie gml:Surface
cube:Observation cbs:personenautosPerHuishouden xsd:decimal
owl:DatatypeProperty dcelements:creator xsd:string
bag:Verblijfsobject bag:maaktDeelUitVan bag:Pand
bag:Ligplaats bag:documentnummer xsd:string
skos:ConceptScheme dct:source xsd:anyURI
cube:Observation cbs:warenhuizen5 xsd:decimal
sh:PropertyShape sh:pattern xsd:string
sor:Provincie dct:identifier xsd:string
cube:Observation cbs:kinderdagverblijven1 xsd:decimal
cube:DataStructureDefinition cube:component cube:ComponentSpecification
cube:Observation cbs:personenautos0-5 xsd:nonNegativeInteger
bag:Verblijfsobject bag:hoofdadres bag:Nummeraanduiding
owl:Class owl:hasValue skos:ConceptScheme
skos:Concept skos:inScheme skos:ConceptScheme
cube:Observation cbs:antillianenArubanen xsd:nonNegativeInteger
bag:OpenbareRuimte nen3610:geregistreerdMet bag:VoorkomenLV
cube:Observation cbs:inwoners25-44 xsd:nonNegativeInteger
sor:RegistratiegegevensExtern sor:beschrijft sor:ObjectExtern
cube:Observation cbs:aow xsd:nonNegativeInteger
cube:Observation cbs:podia10 xsd:decimal
cube:Observation cbs:geboren xsd:nonNegativeInteger
sor:Object sor:hoortBij sor:Object
nen3610:Registratiegegevens nen3610:versie xsd:positiveInteger
sor:Nummeraanduiding sor:huisnummer xsd:positiveInteger
sor:Nummeraanduiding sor:geregistreerdMet sor:Registratiegegevens
rdf:Property rdfs:domain rdfs:Class
cube:Observation cbs:huisartsenpraktijken5 xsd:decimal
cube:Observation cbs:bioscoop xsd:decimal
cube:Observation cbs:buitenschoolseOpvang5 xsd:decimal
bag:OpenbareRuimte bag:ligtIn bag:Woonplaats
cube:Observation cbs:huishoudenGrootte xsd:decimal
owl:DatatypeProperty dct:subject bag:InOnderzoekNummeraanduiding
sh:NodeShape sh:targetClass rdfs:Class
cube:Observation cbs:hogerOnderwijs xsd:decimal
rdfs:Resource rdfs:label rdfs:Literal
cube:Observation cbs:brandweer xsd:decimal
owl:Class dcelements:creator xsd:string
kad:FysiekVoorkomen rdfs:isDefinedBy owl:Ontology
cube:Observation cbs:attracties50 xsd:decimal
kad:Grondslag prov:generatedAtTime xsd:date
kad:Ligplaats geo:hasGeometry gml:Point
cube:Observation cbs:ziekenhuizen10 xsd:decimal
cube:Observation cbs:huishoudensZonderKinderen xsd:nonNegativeInteger
sor:Perceel sor:perceelnummer xsd:integer
owl:DatatypeProperty dcelements:date xsd:date
cube:Observation cbs:cafetaria5 xsd:decimal
cube:Observation cbs:motortweewielers xsd:nonNegativeInteger
skos:Concept prov:invalidatedAtTime xsd:date
mim:Objecttype mim:toelichting xsd:string
bag:Ligplaats bag:geconstateerd bag:Indicatie
owl:DatatypeProperty rdfs:range rdfs:Datatype
cube:Observation cbs:huishoudensLaagInkomen xsd:nonNegativeInteger
cube:Observation cbs:overstapstation xsd:decimal
sh:NodeShape mim:populatie xsd:string
owl:DatatypeProperty rdfs:isDefinedBy owl:Ontology
cube:Observation cbs:gescheiden xsd:nonNegativeInteger
sh:NodeShape mim:kwaliteit xsd:string
cube:Observation cbs:overigeWinkels5 xsd:decimal
sor:Verblijfsobject sor:geregistreerdMet sor:Registratiegegevens
cube:Observation cbs:diefstallen xsd:nonNegativeInteger
cube:Observation cbs:bedrijfsvestigingenKL xsd:nonNegativeInteger
cube:Observation cbs:nietWesterseAllochtonen xsd:nonNegativeInteger
cube:Observation cbs:inwoners45-64 xsd:nonNegativeInteger
cube:Observation cbs:ziekenhuizen5 xsd:decimal
