DATA TYPE EDGES:
('bag:Nummeraanduiding', 'bag:ligtAan', 'bag:OpenbareRuimte')
('bag:Nummeraanduiding', 'bag:voorkomen', 'bag:VoorkomenLV')
('bag:Nummeraanduiding', 'bag:ligtIn', 'bag:Woonplaats')
('bag:OpenbareRuimte', 'bag:ligtIn', 'bag:Woonplaats')
('bag:OpenbareRuimte', 'bag:voorkomen', 'bag:VoorkomenLV')
('bag:OpenbareRuimte', 'bag:verkorteNaam', 'bag:VerkorteNaamOpenbareRuimte')
('bag:Pand', 'bag:geometrie', 'gml:Surface')
('bag:Pand', 'bag:geometrie', 'geo:Geometry')
('bag:Pand', 'bag:voorkomen', 'bag:VoorkomenLV')
('bag:Standplaats', 'bag:geometrie', 'geo:Geometry')
('bag:Standplaats', 'bag:geometrie', 'gml:Surface')
('bag:Standplaats', 'bag:voorkomen', 'bag:VoorkomenLV')
('bag:Verblijfsobject', 'bag:maaktDeelUitVan', 'bag:Pand')
('bag:Verblijfsobject', 'bag:voorkomen', 'bag:VoorkomenLV')
('bag:Woonplaats', 'bag:voorkomen', 'bag:VoorkomenLV')
('bag:_adresseerbaarObject', 'bag:heeftAlsNevenadres', 'bag:Nummeraanduiding')
('bag:_adresseerbaarObject', 'bag:heeftAlsHoofdadres', 'bag:Nummeraanduiding')
('sor:Gebouw', 'geo:sfWithin', 'wbk:Buurt')
('wbk:Buurt', 'geo:sfWithin', 'wbk:Wijk')
('wbk:Wijk', 'geo:sfWithin', 'wbk:Gemeente')
('sor:Gemeente', 'owl:sameAs', 'wbk:Gemeente')

VALUE LIST EDGES:
('sor:Gebouwzone', 'kad:fysiekVoorkomen', 'kad-con:ondergronds')
('sor:Gebouwzone', 'kad:fysiekVoorkomen', 'kad-con:overkluisd')
('sor:Gebouwzone', 'kad:gebouwtype', 'kad-con:kerncentrale_kernreactor')
('sor:Gebouwzone', 'kad:gebouwtype', 'kad-con:klooster_abdij')
('sor:Gebouwzone', 'kad:gebouwtype', 'kad-con:koeltoren')
('sor:Gebouwzone', 'kad:gebouwtype', 'kad-con:fort')
('sor:Gebouwzone', 'kad:gebouwtype', 'kad-con:telecommunicatietoren')
('sor:Gebouwzone', 'kad:gebouwtype', 'kad-con:gemeentehuis')
('sor:Gebouwzone', 'kad:gebouwtype', 'kad-con:waterradmolen')
('sor:Gebouwzone', 'kad:gebouwtype', 'kad-con:tol')
('sor:Gebouwzone', 'kad:gebouwtype', 'kad-con:markantGebouw')
('sor:Gebouwzone', 'kad:gebouwtype', 'kad-con:huizenblok')
('sor:Gebouwzone', 'kad:gebouwtype', 'kad-con:kas_warenhuis')
('sor:Gebouwzone', 'kad:gebouwtype', 'kad-con:remise')
('sor:Gebouwzone', 'kad:gebouwtype', 'kad-con:uitzichttoren')
('sor:Gebouwzone', 'kad:gebouwtype', 'kad-con:werf')
('sor:Gebouwzone', 'kad:gebouwtype', 'kad-con:transformatorstation')
('sor:Gebouwzone', 'kad:gebouwtype', 'kad-con:synagoge')
('sor:Gebouwzone', 'kad:gebouwtype', 'kad-con:radiotoren_televisietoren')
('sor:Gebouwzone', 'kad:gebouwtype', 'kad-con:stationsgebouw')
('sor:Gebouwzone', 'kad:gebouwtype', 'kad-con:sporthal')
('sor:Gebouwzone', 'kad:gebouwtype', 'kad-con:universiteit')
('sor:Gebouwzone', 'kad:gebouwtype', 'kad-con:museum')
('sor:Gebouwzone', 'kad:gebouwtype', 'kad-con:ziekenhuis')
('sor:Gebouwzone', 'kad:gebouwtype', 'kad-con:wegrestaurant')
('sor:Gebouwzone', 'kad:gebouwtype', 'kad-con:kerk')
('sor:Gebouwzone', 'kad:gebouwtype', 'kad-con:bunker')
('sor:Gebouwzone', 'kad:gebouwtype', 'kad-con:pompstation')
('sor:Gebouwzone', 'kad:gebouwtype', 'kad-con:windturbine')
('sor:Gebouwzone', 'kad:gebouwtype', 'kad-con:militairGebouw')
('sor:Gebouwzone', 'kad:gebouwtype', 'kad-con:recreatiecentrum')
('sor:Gebouwzone', 'kad:gebouwtype', 'kad-con:moskee')
('sor:Gebouwzone', 'kad:gebouwtype', 'kad-con:tankstation')
('sor:Gebouwzone', 'kad:gebouwtype', 'kad-con:zwembad')
